rank,name,total,kapasite_40,kalite_40,isbirligi_20
1,Orta Doğu Teknik Üniversitesi,,,,
2,İstanbul Teknik Üniversitesi,,,,
3,Boğaziçi Üniversitesi,,,,
4,İzmir Yüksek Teknoloji Enstitüsü,,,,
5,Ankara Üniversitesi,,,,
6,Hacettepe Üniversitesi,,,,
7,İstanbul Üniversitesi,,,,
8,Yıldız Teknik Üniversitesi,,,,
9,Ege Üniversitesi,,,,
10,Gebze Teknik Üniversitesi,,,,
11,Bursa Uludağ Üniversitesi,,,,
12,Erciyes Üniversitesi,,,,
13,Çukurova Üniversitesi,,,,
14,Gazi Üniversitesi,,,,
15,İstanbul Üniversitesi-Cerrahpaşa,,,,
16,Selçuk Üniversitesi,,,,
