rank,rank_display,name,city,overall_score,Academic Reputation,Citations per Faculty,Faculty Student Ratio,Employer Reputation,Employment Outcomes,International Student Ratio,International Research Network,International Faculty Ratio,Sustainability Score
338,=336,Middle East Technical University,Ankara,32.2,29,22.2,9,63.7,24.6,17.4,32.2,11.3,84.8
405,=404,Istanbul Technical University,Istanbul,27.6,24.2,13.3,12.1,60.4,23,18.3,37.2,7.3,63.1
432,=431,Koç University,Istanbul,26.2,22.4,28.6,24,47.3,11,11.2,6.4,27.3,29.9
504,=502,Bilkent University,Ankara,23.1,22.2,12.9,17.2,44.9,14.3,5.7,4.1,72,14.2
516,=514,Boğaziçi University,Istanbul,22.7,23,14.3,4,58.4,52.7,2.6,4.9,11.1,6.2
529,=526,Sabanci University,Istanbul,22.3,18.1,19.2,34.5,37.5,11.2,15,1.8,37,15.4
713,711-720,Istanbul University,Istanbul,n/a,26.4,4.2,3,19.1,34.7,15.7,36.1,6.4,3.4
764,761-770,Hacettepe University,Ankara,n/a,20.4,6,10.1,22.7,13.8,3.4,27,3.2,31.6
907,901-950,Ankara Üniversitesi,Ankara,n/a,18.5,2.7,8.1,11.7,15.4,5.4,32.4,2.5,16.1
1005,951-1000,Yildiz Technical University,Istanbul,n/a,8.1,9.3,5.1,21.5,10.6,21.6,2,8.7,24.4
1033,1001-1200,EGE UNIVERSITY,İzmir,n/a,8.6,3,13.8,10.3,8.5,3.3,10.6,1.3,17.2
1041,1001-1200,Gazi Üniversitesi,Ankara,n/a,16.4,4,5.5,11.3,14.5,2.8,14.4,1.1,14.5
1209,1201-1400,Anadolu University,Eskişehir,n/a,4,2.9,13.8,4,10.6,3.1,1.4,1.9,1.1
1231,1201-1400,Dokuz Eylul Universitesi,Izmir,n/a,5.7,2.4,2.9,5.9,7.5,6.2,2.1,3.2,16.7
1234,1201-1400,Erciyes University,Kayseri,n/a,3.9,4.9,1.9,3.1,7.5,6.5,3,3.5,10.3
1239,1201-1400,Gebze Technical University (GTU),Gebze,n/a,3.9,13.2,10.1,2.7,9.1,2.7,1.6,3,1.1
1247,1201-1400,Istanbul Aydin University,Istanbul,n/a,3.7,1.4,12.1,2.8,8.4,50.5,1,9.5,2.4
1248,1201-1400,İstanbul Bilgi University,Istanbul,n/a,4.4,2,12.6,4.5,10.2,25.5,1,6.4,2.6
1250,1201-1400,Izmir Institute of Technology (IZTECH),Izmir,n/a,6.6,7.5,5.9,3.5,6.9,2.3,1,3.4,3.5
1264,1201-1400,Marmara University,Istanbul,n/a,6.8,2.3,5,8.3,15.4,3.6,2.1,3,6.1
1414,1401+,Akdeniz Üniversitesi,Antalya,n/a,5.2,2.8,3.4,3.8,7.5,1.1,1.9,1.2,1
1416,1401+,Ataturk University,Erzurum,n/a,4.9,3.9,2.8,2,9.4,3.6,2.3,2.7,4.3
1418,1401+,Cukurova University,Adana,n/a,4.4,2.5,4.5,2.8,6.9,5,3.8,2.1,13.9
1435,1401+,Sakarya University,Adapazari,n/a,3.7,3.1,2.8,3,7.5,12.6,1.3,1.7,1
